You must carry your camping gear .	Sound carries well over water .	0
Messages must go through diplomatic channels .	Do you think the sofa will go through the door ?	0
Break an alibi .	The wholesaler broke the container loads into palettes and boxes for local retailers .	0
He wore a jock strap with a metal cup .	Bees filled the waxen cups with honey .	1
The Academy of Music .	The French Academy .	0
Set the table .	To set glass in a sash .	0
Starch clothes .	She starched her blouses .	1
Do you take sugar in your coffee ?	A reading was taken of the earth 's tremors .	0
I try to avoid the company of gamblers .	We avoided the ball .	1
He got clearance to travel to America , even though he had previous links to terrorists .	The plane got clearance from air traffic control , and we were off .	1
Come out of the closet !	He came singing down the road .	1
Before laying sod on that clay , the ground needs two inches of coverage with topsoil .	The dictionary 's coverage of standard English is excellent .	1
Her death came as a terrible shock .	He had two deaths on his conscience .	0
The despite in which outsiders were held is legendary .	She wanted neither favor nor despite .	0
A school of small glittering fish swam by .	The divers encountered a huge school of mackerel .	1
We should go farther in this matter .	She went through a lot of trouble .	1
The United Nations must have the power to propose and organize action without being hobbled by irrelevant issues .	Recent federal action undermined the segregationist position .	1
Fall by the wayside .	The cities fell to the enemy .	0
This dough does not work easily .	Work the phones .	0
The armies met in the shock of battle .	The train hit the buffers with a great shock .	0
This speech did n't play well with the American public .	Play football .	0
What do you make of his remarks ?	Make a dress .	0
The so-called glorious experiment came to an inglorious end .	The end was exciting .	0
There was a break in the action when a player was hurt .	He was up two breaks in the second set .	0
It was a heavy play and the actors tried in vain to give life to it .	The life of this milk carton may be thousands of years in this landfill .	0
There was too much for one person to do .	Each person is unique , both mentally and physically .	1
Answer the door .	She answered the door .	1
All you ever do is surf the Internet .	A ' B ' grade does n't suffice to get me into medical school .	0
Play fair .	Play football .	0
What message do you see in this letter ?	We had to see a psychiatrist .	0
To strip to the buff .	Swimming in the buff .	1
She made the boy brush his teeth every night .	Most soldiers are only boys in uniform .	1
She was the picture of despair .	The very picture of a modern general .	1
She did n't want to answer .	This may answer her needs .	0
Tickets are $ 5 per head .	He is two heads taller than his little sister .	0
Break into tears .	If the vase falls to the floor , it might break .	0
To die to pleasure or to sin .	She died from cancer .	1
The stock market reached a peak in September 1929 .	Voltage peak .	1
A hermit does n't much care for civilization .	Early Mayan civilization .	1
These bonds carry warrants .	She carries her ideas to the extreme .	0
He wanted a shot at the champion .	I caught him with a solid shot to the chin .	0
The body of the car was badly rusted .	Penny was in the scullery , pressing the body of her new dress .	0
Cut a ticket .	Cut orders .	1
She seems to avoid much in the way of recognition or acknowledgement of feminist work prior to her own .	Give her recognition for trying .	0
You have to shift when you go down a steep hill .	He shifted in his seat .	0
A stock cube .	A sugar cube .	1
Let 's follow our great helmsman !	He followed his lecture with a question and answer period .	0
I apply this rule to get good results .	Apply a magnetic field here .	1
Fall asleep .	She fell ill .	1
She may not make the grade .	Make a stir .	0
Under the head of minor Roman poets .	They tracked him back toward the head of the stream .	0
A reduction in the assessment per head of sheep .	200 head of cattle and 50 head of horses .	1
Give a divorce .	The wall gave in .	0
To drive sheep out of a field .	Drive the cows into the barn .	1
Fall by the wayside .	To fall a tree .	0
He ′s always stuffing his gob with fast food .	She 's got such a gob on her – she′s always gossiping about someone or other .	1
The scale of the map .	The scale of the model .	1
We had to stand for the entire performance !	On the pedestal stood a statue .	1
She may not make the grade .	He made twenty bucks playing poker last night .	0
The woman does not even have one stick of furniture moved in yet .	There was only one piece of furniture in the room .	1
Give a yelp .	This student gives promise of real creativity .	0
Cut a movie scene .	Cut a Ping-Pong ball .	0
Most BASIC files use the filename extension .BAS .	A text file will have a file extension of .txt .	1
He was elected to a seat in the Senate .	He dusted off the seat before sitting down .	0
Make enemies .	What do you make of his remarks ?	0
We should make Cincinnati by 7 tonight .	Make the bed .	0
Do you take me for a fool ?	Looking at him as he came into the room , I took him for his father .	1
Tea has fragrant white flowers .	Iced tea is a cooling drink .	0
Take sick .	I estimate the trip will take about ten minutes .	0
Do you know the way to the airport ?	He said he was looking for the way out .	1
The head of the compass needle is pointing due north .	200 head of cattle .	0
Lift the box onto the table .	I lifted the books .	1
The astronauts walked in outer space without a tether .	The space between his teeth .	0
What was your score on your homework ?	The score was 7 to 0 .	0
How does your idea work in practice ?	The voting process does n't work as well as people thought .	1
He could be Gingrich 's double .	Saddam Hussein was rumored to have many doubles .	1
The space between his teeth .	The architect left space in front of the building .	1
Fix breakfast for the guests , please .	That 'll fix him good !	0
Matters came to a head yesterday .	The head of the column advanced boldly .	0
He bet $ 2 on number six to show .	I showed the customer the glove section .	0
I take it you 're not going ?	He was often taken to be a man of means .	1
The employer wants to cut back health benefits .	Cut trenches .	0
A roller cot ( the clothing of a drawing roller in a spinning frame ) .	A cot for a sore finger .	1
These dyes and colors are guaranteed not to run .	The sale will run for ten days .	0
Now I see !	I want to see whether she speaks French .	0
Drive the cows into the barn .	Their debts finally drove them to sell the business .	0
A bit of lint .	The horse was not accustomed to a bit .	0
Stir the soil .	Stir emotions .	0
This trombone is very expensive .	Jim plays the trombone very well .	1
To fall a tree .	Night fell .	1
Trace your path .	Trace the outline of a figure in the sand .	0
Take a pulse .	A reading was taken of the earth 's tremors .	1
I will carry the secret to my grave .	I carry a lot of life insurance .	1
Penny was in the scullery , pressing the body of her new dress .	Heavenly body .	0
I hold with those who say life is sacred .	Hold all calls to the President 's office while he is in a meeting .	0
Build a reputation .	Build detergents .	0
Smooth the way towards peace negotiations .	Smooth the surface of the wood .	0
We carry a very large mortgage .	The troops carried the town after a brief fight .	0
The war against crime .	"The "" war on terror "" is a campaign against terrorist crime ."	1
Please reply to my letter .	He replied that he was not sure .	1
